5102559896131063,31813525427
5102559896147243,31813525477
5102559896147318,31813520637
5102559896147368,31813521307
5102559896147445,31813527087
5102559896163648,31813527987
5102559896163698,31813527997
5102559896163749,31813527977
5102559896180105,31813521887
5102559896180155,31813522147
5102559896180214,31813523207
5102559896196394,31813523457
5102559896196446,31813523917
5102560320886024,31813523937
5102560320886074,31813524497
5102560320886146,31813520127
5102560320886249,31813523327
5102560320902427,31813523578
5102560320902605,31813522648
5102560320918791,31813523238
5102560320918866,31813527398
5102560320918920,31813528288
5102560320918970,31813528298
5102560320919026,31813528968
5102560320935204,31813528998
5102560320935258,31813529838
5102560320935319,31813522358
5102560320935394,31813524198
5102560320951715,31813523398
5102560320951793,31813525818
5102560320967985,31813521098
5102560320968035,31813521148
5102560320968110,31813523978
5102560320968188,31813526108
5102560320984375,31813528458
5102560320984425,31813528768
5102560320984475,31813528718
5102560320984527,31813529348
5102560321000738,31813521458
5102560321000819,31813524718
5102560321017118,31813523009
5102560321017181,31813523949
5102555495060742,31813484754
5102555495060803,31813485844
5102555495060860,31813486814
5102555495060910,31813487044
5102555495060960,31813487484
5102555495077138,31813487554
5102555495077214,31813481984
5102555495077265,31813482784
5102555495077372,31813487164
5102555495093612,31813480094
5102555495093742,31813488315
5102555495109921,31813488505
5102555495109971,31813488695
5102555740640600,31813485418
5102555740640650,31813485429
5102555740640701,31813486219
5102555740640766,31813488659
5102555740656947,31813489059
5102555740657005,31813480779
5102555740657056,31813480949
5102555740657109,31813483059
5102555740673289,31813483519
5102555740673339,31813483539
5102555740689727,31813488439
5102555740689781,31813489299
5102555740689831,31813489529
5102555740689886,31813480089
5102555740706064,31813481099
5102555740706114,31813481119
5102555740706184,31813486359
5102555740706237,31813486719
5102555740706288,31813486959
5102555740738850,31813487229
5102555740755260,31813490549
5102555740755310,31813491369
5102555740755360,31813491379
5102555740755410,31813493169
5102555740771588,31813493569
5102555740771638,31813493489
5102555740771688,31813493549
5102555740771738,31813493749
5102555740771788,31813493729
5102555740771838,31813493929
5102555740804384,31813498870
5102555740804434,31813499480
5102555740804484,31813498920
5102555740804534,31813490110
5102555740804584,31813490090
5102555740820762,31813490170
5102555740820812,31813491090
5102555740820862,31813491300
5102552700933421,31813459641
5102552700933471,31813450471
5102552700933521,31813450641
5102552700933571,31813451181
5102552700933621,31813451191
5102552700949809,31813455681
5102552700966240,31813459131
5102552700966352,31813450651
5102552700982542,31813453471
5102552700982592,31813454091
5102552700982642,31813454461
5102552700982692,31813454491
5102552700982742,31813454581
5102552700998981,31813450901
5102552700999043,31813452421
5102552700999098,31813453501
5102552701015426,31813452781
5102552701015485,31813454131
5102552701015543,31813455571
5102552701031724,31813456032
5102552701031784,31813458182
5102552701031839,31813459392
5102552701031889,31813459432
5102552701048069,31813450392
5102552701048225,31813458512
5102552701048275,31813458492
5102552701064528,31813456672
5102552701064609,31813459262
